Accession,X20141222_WOS521,X20141222_WOS526,X20141222_WOS5211,X20141222_WOS5216,X20141222_WOS522,X20141222_WOS527,X20141222_WOS5212,X20141222_WOS5217,X20141222_WOS523,X20141222_WOS528,X20141222_WOS5213,X20141222_WOS5218
Cre11.g476750.t1.2|PACid:30775686|,16834.1810834861,15804.9074006096,16258.0031881752,16677.3514822356,16388.0981721265,15718.2573406633,16322.170124660899,15734.7089523824,15971.4524043386,15728.6022868547,15653.7132967402,15753.3314715301
Cre13.g603700.t1.2|PACid:30784404|,13605.5163321818,12791.6463808537,12843.3492721442,12684.3582824277,12660.3736039814,12879.8025501501,12175.3061058086,12919.8871344539,12455.3627364304,12015.8728625905,12781.8954405842,12717.7889064801
Cre06.g306300.t1.2|PACid:30778583|,4588.52888600811,4350.78408631847,4058.16812054245,4348.94717097251,4220.41640407803,4346.91749083373,4155.66928192999,4476.00448774541,4215.81837045298,4146.30664103493,3884.20649062047,4310.3090857681
Cre07.g344400.t1.2|PACid:30774785|,4636.65778518587,4378.93936311585,4500.00381456203,4657.6253552771,4357.19311943007,4389.17844565727,4477.85490588532,4541.12213073449,4385.65460653892,4411.73501808208,4618.22242680182,4630.89042180245
Cre07.g325736.t1.1|PACid:30774660|,3213.13779059214,2954.47412999161,2967.2165596611,2874.51566767936,2940.54241450253,2853.59736011748,2975.07562585891,2895.00598359921,3013.16894400807,2989.80054062986,2973.2468292827,3048.1294881055
Cre06.g250200.t1.2|PACid:30779081|,20944.2602224403,19160.5271533261,19370.9194317481,19656.4550538292,19633.3920658534,19218.6638654602,19414.1907193471,19339.9947056388,19305.9714235697,18761.1021754452,18788.1944716672,19079.7094788776
Cre06.g308250.t1.2|PACid:30778562|,5193.28039529469,5426.39895817629,5690.86784495413,5488.62913565939,4880.75751919892,5372.9515897178,5510.80596155458,5164.55466286215,5161.55646849857,5212.20882667748,5428.81139565421,5487.61853402846
Cre17.g720050.t1.2|PACid:30782442|,4010.85570340773,3616.94783343979,3635.72716807297,3951.81127300111,3538.52880187727,3687.78399625763,3826.89624132662,3611.52132237823,3632.99559249949,3494.61316923962,3589.16869188624,3630.23988212652
Cre10.g434750.t1.2|PACid:30789728|,6903.77522870983,6734.80617663848,6561.33236704108,6806.6350708841,6647.30803002673,6249.89268393476,7140.95242204213,6289.22576840861,6767.71793572213,8266.92161052974,6649.07902205192,6755.58124555018
Cre08.g359350.t1.2|PACid:30773866|,5321.89045083904,4912.09371506308,5130.46283482098,5034.20181999823,5112.377959097,4793.45314568624,4919.01518983397,4983.80270514185,5048.83691854801,4659.03670912475,4933.91935072088,4682.61556978477
